Tempo,Tipo,Preco,Dia,Dia_da_semana,Partida_local,Partida_horario,Chegada_local,Chegada_horario
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 12:25,SDU , 13:30
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 11:40,SDU , 12:45
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 11:15,SDU , 12:20
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 10:45,SDU , 11:50
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 10:00,SDU , 11:05
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 09:15,SDU , 10:20
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 08:40,SDU , 09:45
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 08:00,SDU , 09:05
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 07:45,SDU , 08:50
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 07:00,SDU , 08:05
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 06:20,SDU , 07:25
01:05,Direto, 1271.01, 08/10,TERÇA-FEIRA,CGH , 20:50,SDU , 21:55
01:05,Direto, 1271.01, 08/10,TERÇA-FEIRA,CGH , 20:10,SDU , 21:15
01:05,Direto, 1271.01, 08/10,TERÇA-FEIRA,CGH , 19:40,SDU , 20:45
01:05,Direto, 1271.01, 08/10,TERÇA-FEIRA,CGH , 18:55,SDU , 20:00
01:05,Direto, 1271.01, 08/10,TERÇA-FEIRA,CGH , 18:25,SDU , 19:30
01:05,Direto, 1271.01, 08/10,TERÇA-FEIRA,CGH , 17:35,SDU , 18:40
01:05,Direto, 1271.01, 08/10,TERÇA-FEIRA,CGH , 16:45,SDU , 17:50
01:05,Direto, 1271.01, 08/10,TERÇA-FEIRA,CGH , 16:15,SDU , 17:20
01:05,Direto, 1271.01, 08/10,TERÇA-FEIRA,CGH , 15:35,SDU , 16:40
01:05,Direto, 1271.01, 08/10,TERÇA-FEIRA,CGH , 15:00,SDU , 16:05
01:05,Direto, 1271.01, 08/10,TERÇA-FEIRA,CGH , 14:30,SDU , 15:35
01:05,Direto, 1271.01, 08/10,TERÇA-FEIRA,CGH , 14:00,SDU , 15:05
01:05,Direto, 1271.01, 08/10,TERÇA-FEIRA,CGH , 13:05,SDU , 14:10
01:05,Direto, 1271.01, 08/10,TERÇA-FEIRA,CGH , 12:25,SDU , 13:30
01:05,Direto, 1271.01, 08/10,TERÇA-FEIRA,CGH , 11:40,SDU , 12:45
01:05,Direto, 1271.01, 08/10,TERÇA-FEIRA,CGH , 11:15,SDU , 12:20
01:05,Direto, 1271.01, 08/10,TERÇA-FEIRA,CGH , 10:45,SDU , 11:50
01:05,Direto, 1271.01, 08/10,TERÇA-FEIRA,CGH , 10:00,SDU , 11:05
01:05,Direto, 1271.01, 08/10,TERÇA-FEIRA,CGH , 09:15,SDU , 10:20
01:05,Direto, 1271.01, 08/10,TERÇA-FEIRA,CGH , 08:40,SDU , 09:45
01:05,Direto, 1271.01, 08/10,TERÇA-FEIRA,CGH , 08:00,SDU , 09:05
01:05,Direto, 1271.01, 08/10,TERÇA-FEIRA,CGH , 07:30,SDU , 08:35
01:05,Direto, 1271.01, 08/10,TERÇA-FEIRA,CGH , 07:00,SDU , 08:05
01:05,Direto, 1271.01, 08/10,TERÇA-FEIRA,CGH , 06:20,SDU , 07:25
01:05,Direto, 1271.01, 09/10,QUARTA-FEIRA,CGH , 20:50,SDU , 21:55
01:05,Direto, 1271.01, 09/10,QUARTA-FEIRA,CGH , 20:10,SDU , 21:15
01:05,Direto, 1271.01, 09/10,QUARTA-FEIRA,CGH , 19:40,SDU , 20:45
01:05,Direto, 1271.01, 09/10,QUARTA-FEIRA,CGH , 16:45,SDU , 17:50
01:05,Direto, 1271.01, 09/10,QUARTA-FEIRA,CGH , 16:15,SDU , 17:20
01:05,Direto, 1271.01, 09/10,QUARTA-FEIRA,CGH , 15:35,SDU , 16:40
01:05,Direto, 1271.01, 09/10,QUARTA-FEIRA,CGH , 15:00,SDU , 16:05
01:05,Direto, 1271.01, 09/10,QUARTA-FEIRA,CGH , 14:30,SDU , 15:35
01:05,Direto, 1271.01, 09/10,QUARTA-FEIRA,CGH , 14:00,SDU , 15:05
01:05,Direto, 1271.01, 09/10,QUARTA-FEIRA,CGH , 13:05,SDU , 14:10
01:05,Direto, 1271.01, 09/10,QUARTA-FEIRA,CGH , 12:25,SDU , 13:30
01:05,Direto, 1271.01, 09/10,QUARTA-FEIRA,CGH , 11:40,SDU , 12:45
01:05,Direto, 1271.01, 09/10,QUARTA-FEIRA,CGH , 11:15,SDU , 12:20
01:05,Direto, 1271.01, 09/10,QUARTA-FEIRA,CGH , 10:45,SDU , 11:50
01:05,Direto, 1271.01, 09/10,QUARTA-FEIRA,CGH , 10:00,SDU , 11:05
01:05,Direto, 1271.01, 09/10,QUARTA-FEIRA,CGH , 09:15,SDU , 10:20
01:05,Direto, 1271.01, 09/10,QUARTA-FEIRA,CGH , 08:40,SDU , 09:45
01:05,Direto, 1271.01, 09/10,QUARTA-FEIRA,CGH , 08:00,SDU , 09:05
01:05,Direto, 1271.01, 09/10,QUARTA-FEIRA,CGH , 07:45,SDU , 08:50
01:05,Direto, 1271.01, 09/10,QUARTA-FEIRA,CGH , 07:00,SDU , 08:05
01:05,Direto, 1271.01, 09/10,QUARTA-FEIRA,CGH , 06:20,SDU , 07:25
01:05,Direto, 1638.01, 09/10,QUARTA-FEIRA,CGH , 18:55,SDU , 20:00
01:05,Direto, 1638.01, 09/10,QUARTA-FEIRA,CGH , 17:35,SDU , 18:40
01:05,Direto, 1903.01, 09/10,QUARTA-FEIRA,CGH , 18:25,SDU , 19:30
01:05,Direto, 1070.01, 10/10,QUINTA-FEIRA,CGH , 15:35,SDU , 16:40
01:05,Direto, 1070.01, 10/10,QUINTA-FEIRA,CGH , 15:00,SDU , 16:05
01:05,Direto, 1070.01, 10/10,QUINTA-FEIRA,CGH , 14:30,SDU , 15:35
01:05,Direto, 1070.01, 10/10,QUINTA-FEIRA,CGH , 14:00,SDU , 15:05
01:05,Direto, 1070.01, 10/10,QUINTA-FEIRA,CGH , 13:05,SDU , 14:10
01:05,Direto, 1070.01, 10/10,QUINTA-FEIRA,CGH , 12:25,SDU , 13:30
01:05,Direto, 1070.01, 10/10,QUINTA-FEIRA,CGH , 11:40,SDU , 12:45
01:05,Direto, 1070.01, 10/10,QUINTA-FEIRA,CGH , 11:15,SDU , 12:20
01:05,Direto, 1070.01, 10/10,QUINTA-FEIRA,CGH , 10:45,SDU , 11:50
01:05,Direto, 1070.01, 10/10,QUINTA-FEIRA,CGH , 09:15,SDU , 10:20
01:05,Direto, 1070.01, 10/10,QUINTA-FEIRA,CGH , 08:40,SDU , 09:45
01:05,Direto, 1181.01, 10/10,QUINTA-FEIRA,CGH , 16:45,SDU , 17:50
01:05,Direto, 1181.01, 10/10,QUINTA-FEIRA,CGH , 16:15,SDU , 17:20
01:05,Direto, 1181.01, 10/10,QUINTA-FEIRA,CGH , 10:00,SDU , 11:05
01:05,Direto, 1181.01, 10/10,QUINTA-FEIRA,CGH , 07:00,SDU , 08:05
01:05,Direto, 1181.01, 10/10,QUINTA-FEIRA,CGH , 06:20,SDU , 07:25
01:05,Direto, 1471.01, 10/10,QUINTA-FEIRA,CGH , 08:00,SDU , 09:05
01:05,Direto, 1471.01, 10/10,QUINTA-FEIRA,CGH , 07:30,SDU , 08:35
01:05,Direto, 1677.01, 10/10,QUINTA-FEIRA,CGH , 18:55,SDU , 20:00
01:05,Direto, 2486.01, 10/10,QUINTA-FEIRA,CGH , 20:50,SDU , 21:55
01:05,Direto, 2486.01, 10/10,QUINTA-FEIRA,CGH , 20:10,SDU , 21:15
01:05,Direto, 2486.01, 10/10,QUINTA-FEIRA,CGH , 19:40,SDU , 20:45
01:05,Direto, 2486.01, 10/10,QUINTA-FEIRA,CGH , 18:25,SDU , 19:30
01:05,Direto, 2486.01, 10/10,QUINTA-FEIRA,CGH , 17:35,SDU , 18:40
01:05,Direto, 1070.01, 11/10,SEXTA-FEIRA,CGH , 19:40,SDU , 20:45
01:05,Direto, 1070.01, 11/10,SEXTA-FEIRA,CGH , 17:35,SDU , 18:40
01:05,Direto, 1070.01, 11/10,SEXTA-FEIRA,CGH , 16:45,SDU , 17:50
01:05,Direto, 1070.01, 11/10,SEXTA-FEIRA,CGH , 15:35,SDU , 16:40
01:05,Direto, 1070.01, 11/10,SEXTA-FEIRA,CGH , 15:00,SDU , 16:05
01:05,Direto, 1070.01, 11/10,SEXTA-FEIRA,CGH , 14:30,SDU , 15:35
01:05,Direto, 1070.01, 11/10,SEXTA-FEIRA,CGH , 14:00,SDU , 15:05
01:05,Direto, 1070.01, 11/10,SEXTA-FEIRA,CGH , 12:25,SDU , 13:30
01:05,Direto, 1070.01, 11/10,SEXTA-FEIRA,CGH , 11:40,SDU , 12:45
01:05,Direto, 1070.01, 11/10,SEXTA-FEIRA,CGH , 11:15,SDU , 12:20
01:05,Direto, 1070.01, 11/10,SEXTA-FEIRA,CGH , 10:00,SDU , 11:05
01:05,Direto, 1070.01, 11/10,SEXTA-FEIRA,CGH , 08:40,SDU , 09:45
01:05,Direto, 1070.01, 11/10,SEXTA-FEIRA,CGH , 07:30,SDU , 08:35
01:05,Direto, 1070.01, 11/10,SEXTA-FEIRA,CGH , 06:20,SDU , 07:25
01:05,Direto, 1181.01, 11/10,SEXTA-FEIRA,CGH , 09:15,SDU , 10:20
01:05,Direto, 1181.01, 11/10,SEXTA-FEIRA,CGH , 07:00,SDU , 08:05
01:05,Direto, 1256.01, 11/10,SEXTA-FEIRA,CGH , 16:15,SDU , 17:20
01:05,Direto, 1256.01, 11/10,SEXTA-FEIRA,CGH , 13:05,SDU , 14:10
01:05,Direto, 1471.01, 11/10,SEXTA-FEIRA,CGH , 20:50,SDU , 21:55
01:05,Direto, 1471.01, 11/10,SEXTA-FEIRA,CGH , 20:10,SDU , 21:15
01:05,Direto, 1471.01, 11/10,SEXTA-FEIRA,CGH , 10:45,SDU , 11:50
01:05,Direto, 1471.01, 11/10,SEXTA-FEIRA,CGH , 08:00,SDU , 09:05
01:05,Direto, 1903.01, 11/10,SEXTA-FEIRA,CGH , 18:55,SDU , 20:00
01:05,Direto, 1903.01, 11/10,SEXTA-FEIRA,CGH , 18:25,SDU , 19:30
01:05,Direto, 454.77, 12/10,SÁBADO,CGH , 14:00,SDU , 15:05
01:05,Direto, 454.77, 12/10,SÁBADO,CGH , 12:25,SDU , 13:30
01:05,Direto, 454.77, 12/10,SÁBADO,CGH , 07:30,SDU , 08:35
01:05,Direto, 454.77, 12/10,SÁBADO,CGH , 06:20,SDU , 07:25
01:05,Direto, 537.77, 12/10,SÁBADO,CGH , 15:35,SDU , 16:40
01:05,Direto, 537.77, 12/10,SÁBADO,CGH , 14:30,SDU , 15:35
01:05,Direto, 537.77, 12/10,SÁBADO,CGH , 11:15,SDU , 12:20
01:05,Direto, 537.77, 12/10,SÁBADO,CGH , 08:40,SDU , 09:45
01:05,Direto, 761.77, 12/10,SÁBADO,CGH , 16:45,SDU , 17:50
01:05,Direto, 761.77, 12/10,SÁBADO,CGH , 10:45,SDU , 11:50
01:05,Direto, 761.77, 12/10,SÁBADO,CGH , 10:00,SDU , 11:05
01:05,Direto, 761.77, 12/10,SÁBADO,CGH , 08:00,SDU , 09:05
01:05,Direto, 761.77, 12/10,SÁBADO,CGH , 07:00,SDU , 08:05
01:05,Direto, 1070.01, 12/10,SÁBADO,CGH , 09:15,SDU , 10:20
01:05,Direto, 1181.01, 12/10,SÁBADO,CGH , 11:45,SDU , 12:50
01:05,Direto, 1471.01, 12/10,SÁBADO,CGH , 18:55,SDU , 20:00
01:05,Direto, 586.01, 13/10,DOMINGO,CGH , 10:00,SDU , 11:05
01:05,Direto, 586.01, 13/10,DOMINGO,CGH , 09:15,SDU , 10:20
01:05,Direto, 586.01, 13/10,DOMINGO,CGH , 08:40,SDU , 09:45
01:05,Direto, 586.01, 13/10,DOMINGO,CGH , 07:30,SDU , 08:35
01:05,Direto, 641.01, 13/10,DOMINGO,CGH , 20:50,SDU , 21:55
01:05,Direto, 641.01, 13/10,DOMINGO,CGH , 20:10,SDU , 21:15
01:05,Direto, 641.01, 13/10,DOMINGO,CGH , 18:25,SDU , 19:30
01:05,Direto, 641.01, 13/10,DOMINGO,CGH , 17:35,SDU , 18:40
01:05,Direto, 641.01, 13/10,DOMINGO,CGH , 16:45,SDU , 17:50
01:05,Direto, 641.01, 13/10,DOMINGO,CGH , 16:15,SDU , 17:20
01:05,Direto, 641.01, 13/10,DOMINGO,CGH , 15:35,SDU , 16:40
01:05,Direto, 641.01, 13/10,DOMINGO,CGH , 15:00,SDU , 16:05
01:05,Direto, 641.01, 13/10,DOMINGO,CGH , 14:30,SDU , 15:35
01:05,Direto, 641.01, 13/10,DOMINGO,CGH , 14:00,SDU , 15:05
01:05,Direto, 641.01, 13/10,DOMINGO,CGH , 13:00,SDU , 14:05
01:05,Direto, 641.01, 13/10,DOMINGO,CGH , 12:10,SDU , 13:15
01:05,Direto, 641.01, 13/10,DOMINGO,CGH , 11:15,SDU , 12:20
01:05,Direto, 864.01, 13/10,DOMINGO,CGH , 19:40,SDU , 20:45
01:05,Direto, 864.01, 13/10,DOMINGO,CGH , 18:55,SDU , 20:00
01:05,Direto, 586.01, 14/10,SEGUNDA-FEIRA,CGH , 20:10,SDU , 21:15
01:05,Direto, 586.01, 14/10,SEGUNDA-FEIRA,CGH , 19:40,SDU , 20:45
01:05,Direto, 586.01, 14/10,SEGUNDA-FEIRA,CGH , 18:55,SDU , 20:00
01:05,Direto, 586.01, 14/10,SEGUNDA-FEIRA,CGH , 18:25,SDU , 19:30
01:05,Direto, 586.01, 14/10,SEGUNDA-FEIRA,CGH , 17:35,SDU , 18:40
01:05,Direto, 586.01, 14/10,SEGUNDA-FEIRA,CGH , 16:45,SDU , 17:50
01:05,Direto, 586.01, 14/10,SEGUNDA-FEIRA,CGH , 16:15,SDU , 17:20
01:05,Direto, 586.01, 14/10,SEGUNDA-FEIRA,CGH , 15:35,SDU , 16:40
01:05,Direto, 586.01, 14/10,SEGUNDA-FEIRA,CGH , 15:00,SDU , 16:05
01:05,Direto, 586.01, 14/10,SEGUNDA-FEIRA,CGH , 14:00,SDU , 15:05
01:05,Direto, 586.01, 14/10,SEGUNDA-FEIRA,CGH , 12:25,SDU , 13:30
01:05,Direto, 641.01, 14/10,SEGUNDA-FEIRA,CGH , 20:50,SDU , 21:55
01:05,Direto, 641.01, 14/10,SEGUNDA-FEIRA,CGH , 14:30,SDU , 15:35
01:05,Direto, 641.01, 14/10,SEGUNDA-FEIRA,CGH , 13:05,SDU , 14:10
01:05,Direto, 641.01, 14/10,SEGUNDA-FEIRA,CGH , 11:40,SDU , 12:45
01:05,Direto, 641.01, 14/10,SEGUNDA-FEIRA,CGH , 11:15,SDU , 12:20
01:05,Direto, 641.01, 14/10,SEGUNDA-FEIRA,CGH , 10:45,SDU , 11:50
01:05,Direto, 641.01, 14/10,SEGUNDA-FEIRA,CGH , 10:00,SDU , 11:05
01:05,Direto, 641.01, 14/10,SEGUNDA-FEIRA,CGH , 09:15,SDU , 10:20
01:05,Direto, 641.01, 14/10,SEGUNDA-FEIRA,CGH , 08:40,SDU , 09:45
01:05,Direto, 641.01, 14/10,SEGUNDA-FEIRA,CGH , 08:00,SDU , 09:05
01:05,Direto, 641.01, 14/10,SEGUNDA-FEIRA,CGH , 07:30,SDU , 08:35
01:05,Direto, 641.01, 14/10,SEGUNDA-FEIRA,CGH , 07:00,SDU , 08:05
01:05,Direto, 641.01, 14/10,SEGUNDA-FEIRA,CGH , 06:20,SDU , 07:25
01:05,Direto, 1962.01, 05/10,SÁBADO,CGH , 18:55,SDU , 20:00
01:05,Direto, 1962.01, 05/10,SÁBADO,CGH , 15:35,SDU , 16:40
01:05,Direto, 1962.01, 05/10,SÁBADO,CGH , 14:30,SDU , 15:35
01:05,Direto, 1962.01, 05/10,SÁBADO,CGH , 14:00,SDU , 15:05
01:05,Direto, 1962.01, 05/10,SÁBADO,CGH , 12:25,SDU , 13:30
01:05,Direto, 1962.01, 05/10,SÁBADO,CGH , 11:45,SDU , 12:50
01:05,Direto, 1962.01, 05/10,SÁBADO,CGH , 11:15,SDU , 12:20
01:05,Direto, 1962.01, 05/10,SÁBADO,CGH , 10:00,SDU , 11:05
01:05,Direto, 1962.01, 05/10,SÁBADO,CGH , 09:15,SDU , 10:20
01:05,Direto, 1962.01, 05/10,SÁBADO,CGH , 08:40,SDU , 09:45
01:05,Direto, 1962.01, 05/10,SÁBADO,CGH , 08:00,SDU , 09:05
01:05,Direto, 1962.01, 05/10,SÁBADO,CGH , 07:30,SDU , 08:35
01:05,Direto, 1962.01, 05/10,SÁBADO,CGH , 07:00,SDU , 08:05
01:05,Direto, 1962.01, 05/10,SÁBADO,CGH , 06:20,SDU , 07:25
01:05,Direto, 2527.01, 05/10,SÁBADO,CGH , 10:45,SDU , 11:50
01:05,Direto, 2958.57, 05/10,SÁBADO,CGH , 16:45,SDU , 17:50
01:05,Direto, 1962.01, 06/10,DOMINGO,CGH , 20:50,SDU , 21:55
01:05,Direto, 1962.01, 06/10,DOMINGO,CGH , 20:10,SDU , 21:15
01:05,Direto, 1962.01, 06/10,DOMINGO,CGH , 19:40,SDU , 20:45
01:05,Direto, 1962.01, 06/10,DOMINGO,CGH , 18:55,SDU , 20:00
01:05,Direto, 1962.01, 06/10,DOMINGO,CGH , 18:25,SDU , 19:30
01:05,Direto, 1962.01, 06/10,DOMINGO,CGH , 17:35,SDU , 18:40
01:05,Direto, 1962.01, 06/10,DOMINGO,CGH , 16:45,SDU , 17:50
01:05,Direto, 1962.01, 06/10,DOMINGO,CGH , 16:15,SDU , 17:20
01:05,Direto, 1962.01, 06/10,DOMINGO,CGH , 15:35,SDU , 16:40
01:05,Direto, 1962.01, 06/10,DOMINGO,CGH , 15:00,SDU , 16:05
01:05,Direto, 1962.01, 06/10,DOMINGO,CGH , 14:30,SDU , 15:35
01:05,Direto, 1962.01, 06/10,DOMINGO,CGH , 14:00,SDU , 15:05
01:05,Direto, 1962.01, 06/10,DOMINGO,CGH , 13:00,SDU , 14:05
01:05,Direto, 1962.01, 06/10,DOMINGO,CGH , 12:10,SDU , 13:15
01:05,Direto, 1962.01, 06/10,DOMINGO,CGH , 11:15,SDU , 12:20
01:05,Direto, 1962.01, 06/10,DOMINGO,CGH , 10:00,SDU , 11:05
01:05,Direto, 1962.01, 06/10,DOMINGO,CGH , 09:15,SDU , 10:20
01:05,Direto, 1962.01, 06/10,DOMINGO,CGH , 08:40,SDU , 09:45
01:05,Direto, 1962.01, 06/10,DOMINGO,CGH , 07:30,SDU , 08:35
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 20:50,SDU , 21:55
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 20:10,SDU , 21:15
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 19:40,SDU , 20:45
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 18:55,SDU , 20:00
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 18:25,SDU , 19:30
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 17:35,SDU , 18:40
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 16:45,SDU , 17:50
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 16:15,SDU , 17:20
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 15:35,SDU , 16:40
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 15:00,SDU , 16:05
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 14:30,SDU , 15:35
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 14:00,SDU , 15:05
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 13:05,SDU , 14:10
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 12:25,SDU , 13:30
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 11:40,SDU , 12:45
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 11:15,SDU , 12:20
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 10:45,SDU , 11:50
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 10:00,SDU , 11:05
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 09:15,SDU , 10:20
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 08:40,SDU , 09:45
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 08:00,SDU , 09:05
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 07:45,SDU , 08:50
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 07:00,SDU , 08:05
01:05,Direto, 1271.01, 07/10,SEGUNDA-FEIRA,CGH , 06:20,SDU , 07:25
